Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,36106.359375,36443.980469,36093.359375,36283.250000,36283.250000,16900
2018-01-30,36277.121094,36291.820313,35993.410156,36033.730469,36033.730469,18100
2018-01-31,35951.640625,36050.691406,35818.410156,35965.019531,35965.019531,11000
2018-02-01,36048.988281,36256.828125,35501.738281,35906.660156,35906.660156,25200
2018-02-02,35707.601563,35738.128906,35006.410156,35066.750000,35066.750000,18000
2018-02-05,34718.851563,34874.171875,34520.800781,34757.160156,34757.160156,23500
2018-02-06,33753.781250,34521.011719,33482.808594,34195.941406,34195.941406,22900
2018-02-07,34563.300781,34666.328125,34008.421875,34082.710938,34082.710938,13100
2018-02-08,34208.109375,34634.351563,34108.761719,34413.160156,34413.160156,35700
2018-02-09,34002.449219,34070.730469,33849.648438,34005.761719,34005.761719,15200
2018-02-12,34203.339844,34351.339844,34115.121094,34300.468750,34300.468750,15500
2018-02-14,34436.980469,34473.429688,34028.679688,34155.949219,34155.949219,21100
2018-02-15,34207.570313,34535.078125,34186.011719,34297.468750,34297.468750,13000
2018-02-16,34411.238281,34508.238281,33957.328125,34010.761719,34010.761719,18000
2018-02-19,34053.949219,34122.960938,33554.371094,33774.660156,33774.660156,18000
2018-02-20,33913.941406,33960.949219,33657.890625,33703.589844,33703.589844,19200
2018-02-21,33813.828125,33911.359375,33702.500000,33844.859375,33844.859375,17700
2018-02-22,33817.089844,33868.738281,33691.421875,33819.500000,33819.500000,11800
2018-02-23,33832.000000,34167.601563,33832.000000,34142.148438,34142.148438,21600
2018-02-26,34225.718750,34483.390625,34225.718750,34445.750000,34445.750000,8400
2018-02-27,34558.558594,34610.789063,34314.871094,34346.390625,34346.390625,12700
2018-02-28,34155.628906,34302.738281,34076.449219,34184.039063,34184.039063,12000
2018-03-01,34141.218750,34278.628906,34015.789063,34046.941406,34046.941406,11300
2018-03-05,34034.281250,34034.281250,33653.410156,33746.781250,33746.781250,16900
2018-03-06,34047.429688,34060.128906,33209.761719,33317.199219,33317.199219,11800
2018-03-07,33279.390625,33331.210938,32991.140625,33033.089844,33033.089844,10700
2018-03-08,33244.519531,33439.968750,33037.480469,33351.570313,33351.570313,15500
2018-03-09,33465.050781,33519.488281,33256.421875,33307.140625,33307.140625,8200
2018-03-12,33468.160156,33962.480469,33468.160156,33917.941406,33917.941406,12200
2018-03-13,33818.218750,34077.320313,33722.960938,33856.781250,33856.781250,14300
2018-03-14,33733.550781,33875.148438,33580.691406,33835.738281,33835.738281,9300
2018-03-15,33843.468750,33866.281250,33637.281250,33685.539063,33685.539063,17300
2018-03-16,33685.859375,33691.320313,33119.921875,33176.000000,33176.000000,12700
2018-03-19,33268.968750,33275.789063,32856.539063,32923.121094,32923.121094,9800
2018-03-20,32876.480469,33102.738281,32810.859375,32996.761719,32996.761719,14600
2018-03-21,33090.820313,33354.929688,33070.531250,33136.179688,33136.179688,10100
2018-03-22,33206.988281,33281.769531,32963.308594,33006.269531,33006.269531,12900
2018-03-23,32650.890625,32720.029297,32483.839844,32596.539063,32596.539063,11400
2018-03-26,32536.439453,33115.410156,32515.169922,33066.410156,33066.410156,16400
2018-03-27,33172.980469,33371.039063,33077.128906,33174.390625,33174.390625,15100
2018-03-28,33098.089844,33104.109375,32917.660156,32968.679688,32968.679688,12300
