Date,Open,High,Low,Close,Adj Close,Volume
2015-07-17,204.699997,204.699997,201.850006,202.699997,189.040680,81615
2015-07-20,202.899994,203.000000,199.000000,201.000000,187.455246,85080
2015-07-21,201.100006,202.250000,197.850006,198.899994,185.496750,66716
2015-07-22,198.250000,198.250000,194.500000,196.100006,182.885437,78723
2015-07-23,199.350006,199.800003,196.399994,198.500000,185.123718,93636
2015-07-24,197.699997,197.699997,189.500000,189.550003,176.776840,95679
2015-07-27,189.449997,190.350006,185.100006,185.449997,172.953125,91387
2015-07-28,186.500000,190.600006,186.350006,190.600006,177.756058,124001
2015-07-29,193.350006,193.399994,183.800003,185.899994,173.372787,214847
2015-07-30,186.649994,186.649994,183.899994,185.550003,173.046371,73617
2015-07-31,185.399994,185.949997,182.550003,184.050003,171.647461,98376
2015-08-03,184.350006,185.750000,180.850006,185.750000,173.232895,87754
2015-08-04,185.899994,186.949997,183.850006,186.000000,173.466049,82003
2015-08-05,187.899994,192.899994,187.149994,192.399994,179.434753,125852
2015-08-06,192.000000,194.250000,189.500000,190.000000,177.196503,78001
2015-08-07,190.050003,192.649994,188.350006,191.550003,178.642044,76083
2015-08-10,193.399994,194.149994,190.050003,194.149994,181.066833,62537
2015-08-11,192.649994,192.649994,184.949997,186.199997,173.652573,155718
2015-08-12,183.850006,183.899994,177.649994,177.750000,165.771973,195069
2015-08-13,181.500000,182.899994,179.500000,180.449997,168.290039,102951
2015-08-14,180.199997,182.500000,179.050003,180.000000,167.870361,54081
2015-08-17,181.949997,182.699997,177.000000,178.050003,166.051773,72027
2015-08-18,177.750000,178.500000,175.199997,175.199997,163.393829,81964
2015-08-19,174.750000,175.399994,171.000000,171.000000,159.476868,120451
2015-08-20,169.500000,172.750000,168.050003,168.050003,156.725647,137011
2015-08-21,165.649994,169.350006,165.000000,165.000000,153.881180,129134
2015-08-24,159.850006,163.300003,152.550003,158.550003,147.865814,321454
2015-08-25,160.550003,169.649994,159.100006,167.800003,156.492477,201703
2015-08-26,166.050003,168.399994,162.800003,165.949997,154.767151,128375
